SRNO,Date,Customer ID,Age,Gender,Product,Category,Quantity,Price,Discount,Sales,Month,Quarter,Age Group
18,2025-01-18,1125,42,Female,Monitor,Electronics,1,12000,0.11,10680.0,2025-01,2025Q1,36-45
19,2025-01-19,1111,59,Male,Mouse,Accessories,5,800,0.18,3280.0,2025-01,2025Q1,56-65
20,2025-01-20,1014,48,Male,Mobile,Electronics,4,25000,0.01,99000.0,2025-01,2025Q1,46-55
21,2025-01-21,1084,20,Male,Smart Watch,Electronics,3,5000,0.14,12900.0,2025-01,2025Q1,18-25
22,2025-01-22,1130,57,Male,Camera,Electronics,5,35000,0.06,164500.0,2025-01,2025Q1,56-65
23,2025-01-23,1070,41,Female,Monitor,Electronics,5,12000,0.18,49200.0,2025-01,2025Q1,36-45
24,2025-01-24,1145,49,Female,Mobile,Electronics,5,25000,0.19,101250.0,2025-01,2025Q1,46-55
25,2025-01-25,1123,39,Male,Camera,Electronics,3,35000,0.19,85050.0,2025-01,2025Q1,36-45
26,2025-01-26,1089,40,Male,Mouse,Accessories,3,800,0.09,2184.0,2025-01,2025Q1,36-45
27,2025-01-27,1028,19,Female,Laptop,Electronics,2,55000,0.17,91300.0,2025-01,2025Q1,18-25
28,2025-01-28,1066,44,Female,Camera,Electronics,4,35000,0.17,116200.0,2025-01,2025Q1,36-45
29,2025-01-29,1163,59,Female,Speaker,Electronics,1,3500,0.06,3290.0,2025-01,2025Q1,56-65
30,2025-01-30,1005,19,Female,Monitor,Electronics,5,12000,0.17,49800.0,2025-01,2025Q1,18-25
31,2025-01-31,1193,43,Male,Camera,Electronics,2,35000,0.01,69300.0,2025-01,2025Q1,36-45
32,2025-02-01,1168,34,Female,Printer,Electronics,1,9000,0.12,7920.0,2025-02,2025Q1,26-35
33,2025-02-02,1184,57,Male,Laptop,Electronics,2,55000,0.05,104500.0,2025-02,2025Q1,56-65
34,2025-02-03,1164,50,Female,Power Bank,Accessories,3,1800,0.02,5292.0,2025-02,2025Q1,46-55
35,2025-02-04,1045,26,Female,Power Bank,Accessories,5,1800,0.02,8820.0,2025-02,2025Q1,26-35
36,2025-02-05,1151,56,Female,Speaker,Electronics,1,3500,0.14,3010.0,2025-02,2025Q1,56-65
37,2025-02-06,1047,46,Female,Camera,Electronics,1,35000,0.07,32550.0,2025-02,2025Q1,46-55
38,2025-02-07,1031,59,Female,Camera,Electronics,1,35000,0.14,30100.0,2025-02,2025Q1,56-65
39,2025-02-08,1139,43,Male,Headphones,Accessories,1,2500,0.01,2475.0,2025-02,2025Q1,36-45
40,2025-02-09,1010,52,Male,Camera,Electronics,1,35000,0.06,32900.0,2025-02,2025Q1,46-55
41,2025-02-10,1195,42,Female,Tablet,Electronics,2,18000,0.11,32040.0,2025-02,2025Q1,36-45
42,2025-02-11,1118,41,Female,Keyboard,Accessories,5,1500,0.16,6300.0,2025-02,2025Q1,36-45
43,2025-02-12,1014,30,Male,Printer,Electronics,3,9000,0.06,25380.0,2025-02,2025Q1,26-35
44,2025-02-13,1080,24,Female,Headphones,Accessories,3,2500,0.13,6525.0,2025-02,2025Q1,18-25
45,2025-02-14,1093,53,Female,Mouse,Accessories,3,800,0.18,1968.0,2025-02,2025Q1,46-55
46,2025-02-15,1010,37,Male,Headphones,Accessories,3,2500,0.12,6600.0,2025-02,2025Q1,36-45
47,2025-02-16,1076,18,Female,Tablet,Electronics,2,18000,0.05,34200.0,2025-02,2025Q1,18-25
48,2025-02-17,1094,25,Female,Mouse,Accessories,4,800,0.0,3200.0,2025-02,2025Q1,18-25
49,2025-02-18,1105,33,Male,Printer,Electronics,5,9000,0.17,37350.0,2025-02,2025Q1,26-35
50,2025-02-19,1001,31,Male,Tablet,Electronics,1,18000,0.0,18000.0,2025-02,2025Q1,26-35
51,2025-02-20,1133,29,Male,Mobile,Electronics,4,25000,0.17,83000.0,2025-02,2025Q1,26-35
52,2025-02-21,1020,40,Female,Keyboard,Accessories,3,1500,0.11,4005.0,2025-02,2025Q1,36-45
53,2025-02-22,1008,32,Male,Printer,Electronics,4,9000,0.19,29160.0,2025-02,2025Q1,26-35
54,2025-02-23,1171,45,Male,Camera,Electronics,5,35000,0.16,147000.0,2025-02,2025Q1,36-45
55,2025-02-24,1001,51,Male,Mobile,Electronics,1,25000,0.2,20000.0,2025-02,2025Q1,46-55
56,2025-02-25,1057,19,Male,Speaker,Electronics,1,3500,0.07,3255.0,2025-02,2025Q1,18-25
57,2025-02-26,1064,49,Male,Printer,Electronics,5,9000,0.15,38250.0,2025-02,2025Q1,46-55
58,2025-02-27,1118,40,Male,Speaker,Electronics,5,3500,0.08,16100.0,2025-02,2025Q1,36-45
59,2025-02-28,1028,39,Female,Mouse,Accessories,3,800,0.1,2160.0,2025-02,2025Q1,36-45
60,2025-03-01,1121,42,Female,Mobile,Electronics,1,25000,0.13,21750.0,2025-03,2025Q1,36-45
61,2025-03-02,1107,39,Male,Keyboard,Accessories,4,1500,0.17,4980.0,2025-03,2025Q1,36-45
62,2025-03-03,1165,39,Male,Camera,Electronics,2,35000,0.2,56000.0,2025-03,2025Q1,36-45
63,2025-03-04,1175,59,Male,Camera,Electronics,2,35000,0.15,59500.0,2025-03,2025Q1,56-65
64,2025-03-05,1165,23,Female,Tablet,Electronics,5,18000,0.08,82800.0,2025-03,2025Q1,18-25
65,2025-03-06,1049,32,Female,Camera,Electronics,3,35000,0.08,96600.0,2025-03,2025Q1,26-35
66,2025-03-07,1120,54,Female,Smart Watch,Electronics,2,5000,0.15,8500.0,2025-03,2025Q1,46-55
67,2025-03-08,1044,50,Female,Headphones,Accessories,1,2500,0.05,2375.0,2025-03,2025Q1,46-55
68,2025-03-09,1056,25,Female,Laptop,Electronics,5,55000,0.02,269500.0,2025-03,2025Q1,18-25
69,2025-03-10,1156,22,Female,Keyboard,Accessories,4,1500,0.07,5580.0,2025-03,2025Q1,18-25
70,2025-03-11,1111,56,Female,Mobile,Electronics,5,25000,0.06,117500.0,2025-03,2025Q1,56-65
71,2025-03-12,1134,21,Female,Smart Watch,Electronics,4,5000,0.06,18800.0,2025-03,2025Q1,18-25
72,2025-03-13,1108,23,Female,Keyboard,Accessories,5,1500,0.05,7125.0,2025-03,2025Q1,18-25
73,2025-03-14,1189,49,Male,Mobile,Electronics,5,25000,0.01,123750.0,2025-03,2025Q1,46-55
74,2025-03-15,1148,47,Male,Monitor,Electronics,5,12000,0.0,60000.0,2025-03,2025Q1,46-55
75,2025-03-16,1114,52,Male,Monitor,Electronics,4,12000,0.2,38400.0,2025-03,2025Q1,46-55
76,2025-03-17,1078,57,Male,Speaker,Electronics,4,3500,0.09,12740.0,2025-03,2025Q1,56-65
77,2025-03-18,1130,33,Female,Keyboard,Accessories,5,1500,0.08,6900.0,2025-03,2025Q1,26-35
78,2025-03-19,1037,30,Female,Monitor,Electronics,2,12000,0.14,20640.0,2025-03,2025Q1,26-35
79,2025-03-20,1020,59,Male,Mobile,Electronics,3,25000,0.04,72000.0,2025-03,2025Q1,56-65
80,2025-03-21,1026,47,Female,Speaker,Electronics,3,3500,0.19,8505.0,2025-03,2025Q1,46-55
81,2025-03-22,1029,36,Male,Camera,Electronics,3,35000,0.16,88200.0,2025-03,2025Q1,36-45
82,2025-03-23,1001,34,Female,Mobile,Electronics,4,25000,0.02,98000.0,2025-03,2025Q1,26-35
83,2025-03-24,1119,36,Male,Speaker,Electronics,4,3500,0.08,12880.0,2025-03,2025Q1,36-45
84,2025-03-25,1035,45,Female,Keyboard,Accessories,2,1500,0.18,2460.0,2025-03,2025Q1,36-45
85,2025-03-26,1198,43,Female,Smart Watch,Electronics,3,5000,0.19,12150.0,2025-03,2025Q1,36-45
86,2025-03-27,1059,54,Male,Tablet,Electronics,3,18000,0.09,49140.0,2025-03,2025Q1,46-55
87,2025-03-28,1069,43,Female,Camera,Electronics,5,35000,0.12,154000.0,2025-03,2025Q1,36-45
88,2025-03-29,1161,40,Male,Printer,Electronics,4,9000,0.03,34920.0,2025-03,2025Q1,36-45
89,2025-03-30,1179,26,Male,Smart Watch,Electronics,3,5000,0.2,12000.0,2025-03,2025Q1,26-35
90,2025-03-31,1012,29,Male,Mouse,Accessories,2,800,0.05,1520.0,2025-03,2025Q1,26-35
91,2025-04-01,1020,18,Male,Mobile,Electronics,2,25000,0.19,40500.0,2025-04,2025Q2,18-25
92,2025-04-02,1181,18,Female,Mouse,Accessories,3,800,0.13,2088.0,2025-04,2025Q2,18-25
93,2025-04-03,1043,51,Female,Smart Watch,Electronics,4,5000,0.12,17600.0,2025-04,2025Q2,46-55
94,2025-04-04,1126,49,Female,Speaker,Electronics,2,3500,0.1,6300.0,2025-04,2025Q2,46-55
95,2025-04-05,1050,42,Male,Printer,Electronics,5,9000,0.05,42750.0,2025-04,2025Q2,36-45
96,2025-04-06,1029,57,Female,Camera,Electronics,2,35000,0.04,67200.0,2025-04,2025Q2,56-65
97,2025-04-07,1185,18,Male,Camera,Electronics,1,35000,0.04,33600.0,2025-04,2025Q2,18-25
98,2025-04-08,1039,33,Female,Camera,Electronics,1,35000,0.04,33600.0,2025-04,2025Q2,26-35
99,2025-04-09,1184,56,Female,Printer,Electronics,4,9000,0.16,30240.0,2025-04,2025Q2,56-65
100,2025-04-10,1171,22,Female,Laptop,Electronics,3,55000,0.07,153450.0,2025-04,2025Q2,18-25
101,2025-04-11,1178,39,Male,Printer,Electronics,4,9000,0.01,35640.0,2025-04,2025Q2,36-45
102,2025-04-12,1151,46,Female,Tablet,Electronics,4,18000,0.19,58320.0,2025-04,2025Q2,46-55
103,2025-04-13,1172,20,Female,Printer,Electronics,4,9000,0.18,29520.0,2025-04,2025Q2,18-25
104,2025-04-14,1038,29,Male,Smart Watch,Electronics,4,5000,0.19,16200.0,2025-04,2025Q2,26-35
105,2025-04-15,1084,43,Female,Laptop,Electronics,5,55000,0.2,220000.0,2025-04,2025Q2,36-45
106,2025-04-16,1151,33,Male,Camera,Electronics,5,35000,0.03,169750.0,2025-04,2025Q2,26-35
107,2025-04-17,1128,54,Female,Smart Watch,Electronics,2,5000,0.08,9200.0,2025-04,2025Q2,46-55
108,2025-04-18,1126,39,Male,Smart Watch,Electronics,1,5000,0.15,4250.0,2025-04,2025Q2,36-45
109,2025-04-19,1045,46,Male,Power Bank,Accessories,4,1800,0.14,6192.0,2025-04,2025Q2,46-55
110,2025-04-20,1052,31,Female,Headphones,Accessories,2,2500,0.03,4850.0,2025-04,2025Q2,26-35
111,2025-04-21,1080,45,Male,Laptop,Electronics,1,55000,0.16,46200.0,2025-04,2025Q2,36-45
112,2025-04-22,1178,22,Male,Smart Watch,Electronics,3,5000,0.04,14400.0,2025-04,2025Q2,18-25
113,2025-04-23,1124,47,Male,Headphones,Accessories,5,2500,0.04,12000.0,2025-04,2025Q2,46-55
114,2025-04-24,1119,22,Male,Headphones,Accessories,1,2500,0.11,2225.0,2025-04,2025Q2,18-25
115,2025-04-25,1008,29,Male,Laptop,Electronics,3,55000,0.12,145200.0,2025-04,2025Q2,26-35
116,2025-04-26,1085,33,Male,Power Bank,Accessories,1,1800,0.12,1584.0,2025-04,2025Q2,26-35
117,2025-04-27,1129,43,Female,Mouse,Accessories,5,800,0.02,3920.0,2025-04,2025Q2,36-45
118,2025-04-28,1008,43,Male,Speaker,Electronics,5,3500,0.18,14350.0,2025-04,2025Q2,36-45
119,2025-04-29,1157,38,Male,Tablet,Electronics,2,18000,0.05,34200.0,2025-04,2025Q2,36-45
120,2025-04-30,1096,56,Female,Speaker,Electronics,4,3500,0.03,13580.0,2025-04,2025Q2,56-65
121,2025-05-01,1102,53,Female,Printer,Electronics,1,9000,0.18,7380.0,2025-05,2025Q2,46-55
122,2025-05-02,1005,50,Female,Camera,Electronics,1,35000,0.19,28350.0,2025-05,2025Q2,46-55
123,2025-05-03,1086,47,Female,Tablet,Electronics,3,18000,0.17,44820.0,2025-05,2025Q2,46-55
124,2025-05-04,1175,54,Female,Printer,Electronics,5,9000,0.16,37800.0,2025-05,2025Q2,46-55
125,2025-05-05,1034,40,Female,Smart Watch,Electronics,1,5000,0.13,4350.0,2025-05,2025Q2,36-45
126,2025-05-06,1193,27,Female,Camera,Electronics,5,35000,0.11,155750.0,2025-05,2025Q2,26-35
127,2025-05-07,1055,22,Male,Mobile,Electronics,1,25000,0.02,24500.0,2025-05,2025Q2,18-25
128,2025-05-08,1119,53,Male,Laptop,Electronics,2,55000,0.08,101200.0,2025-05,2025Q2,46-55
129,2025-05-09,1171,51,Female,Tablet,Electronics,4,18000,0.07,66960.0,2025-05,2025Q2,46-55
130,2025-05-10,1158,48,Male,Tablet,Electronics,1,18000,0.05,17100.0,2025-05,2025Q2,46-55
131,2025-05-11,1114,27,Male,Smart Watch,Electronics,5,5000,0.14,21500.0,2025-05,2025Q2,26-35
132,2025-05-12,1145,36,Male,Mouse,Accessories,2,800,0.1,1440.0,2025-05,2025Q2,36-45
133,2025-05-13,1026,49,Female,Headphones,Accessories,1,2500,0.02,2450.0,2025-05,2025Q2,46-55
134,2025-05-14,1136,18,Female,Camera,Electronics,3,35000,0.04,100800.0,2025-05,2025Q2,18-25
135,2025-05-15,1047,22,Male,Smart Watch,Electronics,4,5000,0.14,17200.0,2025-05,2025Q2,18-25
136,2025-05-16,1113,21,Female,Monitor,Electronics,1,12000,0.02,11760.0,2025-05,2025Q2,18-25
137,2025-05-17,1076,33,Male,Power Bank,Accessories,2,1800,0.17,2988.0,2025-05,2025Q2,26-35
138,2025-05-18,1072,41,Male,Headphones,Accessories,3,2500,0.1,6750.0,2025-05,2025Q2,36-45
139,2025-05-19,1089,33,Male,Laptop,Electronics,2,55000,0.1,99000.0,2025-05,2025Q2,26-35
140,2025-05-20,1046,19,Male,Headphones,Accessories,2,2500,0.12,4400.0,2025-05,2025Q2,18-25
141,2025-05-21,1196,45,Female,Mouse,Accessories,3,800,0.16,2016.0,2025-05,2025Q2,36-45
142,2025-05-22,1033,49,Female,Headphones,Accessories,2,2500,0.07,4650.0,2025-05,2025Q2,46-55
143,2025-05-23,1001,44,Female,Laptop,Electronics,3,55000,0.14,141900.0,2025-05,2025Q2,36-45
144,2025-05-24,1147,37,Male,Mouse,Accessories,1,800,0.11,712.0,2025-05,2025Q2,36-45
145,2025-05-25,1031,41,Female,Speaker,Electronics,3,3500,0.05,9975.0,2025-05,2025Q2,36-45
146,2025-05-26,1142,29,Male,Tablet,Electronics,3,18000,0.18,44280.0,2025-05,2025Q2,26-35
147,2025-05-27,1053,52,Female,Tablet,Electronics,4,18000,0.16,60480.0,2025-05,2025Q2,46-55
148,2025-05-28,1048,50,Male,Power Bank,Accessories,3,1800,0.13,4698.0,2025-05,2025Q2,46-55
149,2025-05-29,1069,50,Male,Printer,Electronics,3,9000,0.17,22410.0,2025-05,2025Q2,46-55
150,2025-05-30,1105,54,Male,Speaker,Electronics,1,3500,0.17,2905.0,2025-05,2025Q2,46-55
151,2025-05-31,1090,29,Female,Speaker,Electronics,4,3500,0.14,12040.0,2025-05,2025Q2,26-35
152,2025-06-01,1190,20,Female,Camera,Electronics,5,35000,0.17,145250.0,2025-06,2025Q2,18-25
153,2025-06-02,1194,18,Female,Headphones,Accessories,1,2500,0.14,2150.0,2025-06,2025Q2,18-25
154,2025-06-03,1192,50,Female,Tablet,Electronics,1,18000,0.14,15480.0,2025-06,2025Q2,46-55
155,2025-06-04,1198,57,Male,Laptop,Electronics,5,55000,0.12,242000.0,2025-06,2025Q2,56-65
156,2025-06-05,1063,27,Female,Keyboard,Accessories,3,1500,0.15,3825.0,2025-06,2025Q2,26-35
157,2025-06-06,1073,46,Female,Keyboard,Accessories,2,1500,0.03,2910.0,2025-06,2025Q2,46-55
158,2025-06-07,1161,30,Male,Mouse,Accessories,4,800,0.18,2624.0,2025-06,2025Q2,26-35
159,2025-06-08,1169,29,Male,Tablet,Electronics,2,18000,0.17,29880.0,2025-06,2025Q2,26-35
160,2025-06-09,1089,48,Male,Tablet,Electronics,5,18000,0.01,89100.0,2025-06,2025Q2,46-55
161,2025-06-10,1176,19,Female,Power Bank,Accessories,1,1800,0.17,1494.0,2025-06,2025Q2,18-25
162,2025-06-11,1013,52,Male,Keyboard,Accessories,1,1500,0.03,1455.0,2025-06,2025Q2,46-55
163,2025-06-12,1073,40,Male,Tablet,Electronics,4,18000,0.07,66960.0,2025-06,2025Q2,36-45
164,2025-06-13,1077,34,Male,Power Bank,Accessories,1,1800,0.15,1530.0,2025-06,2025Q2,26-35
165,2025-06-14,1159,43,Female,Headphones,Accessories,1,2500,0.03,2425.0,2025-06,2025Q2,36-45
166,2025-06-15,1068,25,Male,Monitor,Electronics,4,12000,0.16,40320.0,2025-06,2025Q2,18-25
167,2025-06-16,1098,46,Female,Camera,Electronics,4,35000,0.17,116200.0,2025-06,2025Q2,46-55
168,2025-06-17,1125,43,Female,Mobile,Electronics,5,25000,0.1,112500.0,2025-06,2025Q2,36-45
169,2025-06-18,1102,27,Male,Speaker,Electronics,1,3500,0.0,3500.0,2025-06,2025Q2,26-35
170,2025-06-19,1132,43,Male,Printer,Electronics,1,9000,0.06,8460.0,2025-06,2025Q2,36-45
171,2025-06-20,1102,51,Female,Mouse,Accessories,5,800,0.12,3520.0,2025-06,2025Q2,46-55
172,2025-06-21,1019,58,Male,Monitor,Electronics,3,12000,0.2,28800.0,2025-06,2025Q2,56-65
173,2025-06-22,1198,24,Male,Camera,Electronics,3,35000,0.13,91350.0,2025-06,2025Q2,18-25
174,2025-06-23,1082,21,Female,Camera,Electronics,3,35000,0.05,99750.0,2025-06,2025Q2,18-25
175,2025-06-24,1141,28,Female,Camera,Electronics,5,35000,0.13,152250.0,2025-06,2025Q2,26-35
176,2025-06-25,1023,46,Male,Camera,Electronics,1,35000,0.11,31150.0,2025-06,2025Q2,46-55
177,2025-06-26,1083,53,Female,Keyboard,Accessories,5,1500,0.16,6300.0,2025-06,2025Q2,46-55
178,2025-06-27,1109,42,Male,Power Bank,Accessories,5,1800,0.02,8820.0,2025-06,2025Q2,36-45
179,2025-06-28,1075,38,Male,Speaker,Electronics,3,3500,0.15,8925.0,2025-06,2025Q2,36-45
180,2025-06-29,1129,53,Male,Tablet,Electronics,2,18000,0.11,32040.0,2025-06,2025Q2,46-55
181,2025-06-30,1088,27,Female,Camera,Electronics,1,35000,0.19,28350.0,2025-06,2025Q2,26-35
182,2025-07-01,1054,54,Male,Printer,Electronics,3,9000,0.07,25110.0,2025-07,2025Q3,46-55
183,2025-07-02,1199,26,Male,Tablet,Electronics,2,18000,0.13,31320.0,2025-07,2025Q3,26-35
184,2025-07-03,1089,41,Male,Laptop,Electronics,2,55000,0.19,89100.0,2025-07,2025Q3,36-45
185,2025-07-04,1143,52,Female,Laptop,Electronics,4,55000,0.02,215600.0,2025-07,2025Q3,46-55
186,2025-07-05,1065,52,Female,Printer,Electronics,1,9000,0.19,7290.0,2025-07,2025Q3,46-55
187,2025-07-06,1076,53,Female,Power Bank,Accessories,2,1800,0.14,3096.0,2025-07,2025Q3,46-55
188,2025-07-07,1199,35,Female,Printer,Electronics,3,9000,0.01,26730.0,2025-07,2025Q3,26-35
189,2025-07-08,1143,56,Female,Keyboard,Accessories,4,1500,0.06,5640.0,2025-07,2025Q3,56-65
190,2025-07-09,1149,49,Male,Printer,Electronics,1,9000,0.14,7740.0,2025-07,2025Q3,46-55
191,2025-07-10,1147,41,Female,Headphones,Accessories,5,2500,0.01,12375.0,2025-07,2025Q3,36-45
192,2025-07-11,1060,40,Female,Tablet,Electronics,3,18000,0.12,47520.0,2025-07,2025Q3,36-45
193,2025-07-12,1093,49,Female,Monitor,Electronics,2,12000,0.07,22320.0,2025-07,2025Q3,46-55
194,2025-07-13,1161,54,Male,Smart Watch,Electronics,2,5000,0.12,8800.0,2025-07,2025Q3,46-55
195,2025-07-14,1049,29,Female,Power Bank,Accessories,3,1800,0.01,5346.0,2025-07,2025Q3,26-35
196,2025-07-15,1035,30,Female,Printer,Electronics,2,9000,0.17,14940.0,2025-07,2025Q3,26-35
197,2025-07-16,1172,40,Male,Mouse,Accessories,4,800,0.19,2592.0,2025-07,2025Q3,36-45
198,2025-07-17,1102,42,Female,Laptop,Electronics,1,55000,0.19,44550.0,2025-07,2025Q3,36-45
199,2025-07-18,1011,52,Male,Headphones,Accessories,4,2500,0.15,8500.0,2025-07,2025Q3,46-55
200,2025-07-19,1099,58,Male,Speaker,Electronics,2,3500,0.03,6790.0,2025-07,2025Q3,56-65
201,2025-07-20,1200,47,Male,Camera,Electronics,5,35000,0.15,148750.0,2025-07,2025Q3,46-55
202,2025-07-21,1110,34,Male,Smart Watch,Electronics,1,5000,0.0,5000.0,2025-07,2025Q3,26-35
203,2025-07-22,1074,37,Male,Power Bank,Accessories,1,1800,0.0,1800.0,2025-07,2025Q3,36-45
204,2025-07-23,1194,42,Female,Monitor,Electronics,3,12000,0.06,33840.0,2025-07,2025Q3,36-45
205,2025-07-24,1174,39,Male,Smart Watch,Electronics,3,5000,0.1,13500.0,2025-07,2025Q3,36-45
206,2025-07-25,1009,30,Male,Printer,Electronics,5,9000,0.15,38250.0,2025-07,2025Q3,26-35
207,2025-07-26,1003,36,Female,Keyboard,Accessories,1,1500,0.14,1290.0,2025-07,2025Q3,36-45
208,2025-07-27,1085,53,Male,Laptop,Electronics,5,55000,0.09,250250.0,2025-07,2025Q3,46-55
209,2025-07-28,1026,29,Female,Laptop,Electronics,3,55000,0.05,156750.0,2025-07,2025Q3,26-35
210,2025-07-29,1072,58,Female,Speaker,Electronics,3,3500,0.2,8400.0,2025-07,2025Q3,56-65
211,2025-07-30,1048,36,Female,Keyboard,Accessories,1,1500,0.09,1365.0,2025-07,2025Q3,36-45
212,2025-07-31,1194,29,Male,Camera,Electronics,4,35000,0.09,127400.0,2025-07,2025Q3,26-35
213,2025-08-01,1198,26,Male,Tablet,Electronics,2,18000,0.03,34920.0,2025-08,2025Q3,26-35
214,2025-08-02,1156,24,Male,Mobile,Electronics,3,25000,0.16,63000.0,2025-08,2025Q3,18-25
215,2025-08-03,1117,45,Female,Headphones,Accessories,3,2500,0.14,6450.0,2025-08,2025Q3,36-45
216,2025-08-04,1154,31,Male,Laptop,Electronics,4,55000,0.04,211200.0,2025-08,2025Q3,26-35
217,2025-08-05,1153,48,Male,Mouse,Accessories,4,800,0.02,3136.0,2025-08,2025Q3,46-55
218,2025-08-06,1012,36,Male,Laptop,Electronics,5,55000,0.14,236500.0,2025-08,2025Q3,36-45
219,2025-08-07,1133,33,Female,Smart Watch,Electronics,5,5000,0.13,21750.0,2025-08,2025Q3,26-35
220,2025-08-08,1048,22,Female,Laptop,Electronics,2,55000,0.05,104500.0,2025-08,2025Q3,18-25
221,2025-08-09,1037,52,Male,Power Bank,Accessories,2,1800,0.19,2916.0,2025-08,2025Q3,46-55
222,2025-08-10,1044,29,Male,Laptop,Electronics,1,55000,0.03,53350.0,2025-08,2025Q3,26-35
223,2025-08-11,1015,42,Male,Mobile,Electronics,5,25000,0.09,113750.0,2025-08,2025Q3,36-45
224,2025-08-12,1043,38,Male,Mobile,Electronics,3,25000,0.19,60750.0,2025-08,2025Q3,36-45
225,2025-08-13,1176,53,Female,Camera,Electronics,5,35000,0.08,161000.0,2025-08,2025Q3,46-55
226,2025-08-14,1087,40,Female,Monitor,Electronics,3,12000,0.13,31320.0,2025-08,2025Q3,36-45
227,2025-08-15,1070,33,Female,Tablet,Electronics,4,18000,0.08,66240.0,2025-08,2025Q3,26-35
228,2025-08-16,1046,56,Female,Mouse,Accessories,5,800,0.05,3800.0,2025-08,2025Q3,56-65
229,2025-08-17,1108,59,Male,Laptop,Electronics,4,55000,0.2,176000.0,2025-08,2025Q3,56-65
230,2025-08-18,1123,56,Male,Laptop,Electronics,2,55000,0.08,101200.0,2025-08,2025Q3,56-65
231,2025-08-19,1171,31,Male,Headphones,Accessories,2,2500,0.18,4100.0,2025-08,2025Q3,26-35
232,2025-08-20,1021,48,Female,Mobile,Electronics,1,25000,0.05,23750.0,2025-08,2025Q3,46-55
233,2025-08-21,1151,22,Male,Mouse,Accessories,5,800,0.04,3840.0,2025-08,2025Q3,18-25
234,2025-08-22,1107,52,Female,Camera,Electronics,4,35000,0.01,138600.0,2025-08,2025Q3,46-55
235,2025-08-23,1080,40,Female,Speaker,Electronics,3,3500,0.13,9135.0,2025-08,2025Q3,36-45
236,2025-08-24,1047,46,Male,Monitor,Electronics,2,12000,0.07,22320.0,2025-08,2025Q3,46-55
237,2025-08-25,1117,28,Male,Tablet,Electronics,2,18000,0.17,29880.0,2025-08,2025Q3,26-35
238,2025-08-26,1124,35,Male,Keyboard,Accessories,3,1500,0.09,4095.0,2025-08,2025Q3,26-35
239,2025-08-27,1143,29,Female,Tablet,Electronics,4,18000,0.19,58320.0,2025-08,2025Q3,26-35
240,2025-08-28,1025,26,Male,Power Bank,Accessories,4,1800,0.04,6912.0,2025-08,2025Q3,26-35
241,2025-08-29,1036,27,Female,Smart Watch,Electronics,5,5000,0.17,20750.0,2025-08,2025Q3,26-35
242,2025-08-30,1051,34,Male,Power Bank,Accessories,5,1800,0.16,7560.0,2025-08,2025Q3,26-35
243,2025-08-31,1015,55,Female,Laptop,Electronics,1,55000,0.15,46750.0,2025-08,2025Q3,46-55
244,2025-09-01,1068,24,Female,Monitor,Electronics,2,12000,0.17,19920.0,2025-09,2025Q3,18-25
245,2025-09-02,1021,30,Male,Smart Watch,Electronics,5,5000,0.15,21250.0,2025-09,2025Q3,26-35
246,2025-09-03,1141,57,Female,Mouse,Accessories,4,800,0.13,2784.0,2025-09,2025Q3,56-65
247,2025-09-04,1019,59,Female,Keyboard,Accessories,3,1500,0.03,4365.0,2025-09,2025Q3,56-65
